sif_code,nav_date,nav
SIF-120,Growth,Direct Plan
SIF-121,IDCW,Direct Plan
SIF-122,Growth,Regular Plan
SIF-123,IDCW,Regular Plan
SIF-140,GROWTH OPTION,Direct Plan
SIF-143,GROWTH OPTION,Regular Plan
SIF-144,IDCW Option,Regular Plan
SIF-33,,
SIF-34,,
SIF-23,Growth Option,Direct Plan
SIF-25,Growth Option,Regular Plan
SIF-24,IDCW Option,Direct Plan
SIF-26,IDCW Option,Regular Plan
SIF-107,Growth,Direct Plan
SIF-104,IDCW,Direct Plan
SIF-105,Growth,Regular Plan
SIF-106,IDCW,Regular Plan
SIF-112,Growth Option,Direct Plan
SIF-114,Growth Option,Regular Plan
SIF-115,IDCW Option,Regular Plan
SIF-61,,
SIF-75,,
SIF-62,,
SIF-69,,
SIF-71,,
SIF-19,Growth Option,Direct Plan
SIF-20,IDCW Option,Direct Plan
SIF-21,Growth Option,Regular Plan
SIF-22,IDCW Option,Regular Plan
SIF-57,GROWTH OPTION,Direct Plan
SIF-55,GROWTH OPTION,Regular Plan
SIF-59,IDCW Option,Regular Plan
SIF-127,,
SIF-126,,
SIF-1,Growth Option,Direct Plan
SIF-3,Growth Option,Regular Plan
SIF-2,IDCW Option,Direct Plan
SIF-4,IDCW Option,Regular Plan
SIF-95,Growth,Direct Plan
SIF-94,IDCW,Regular Plan
SIF-96,Growth,Regular Plan
SIF-97,IDCW,Regular Plan
SIF-149,Growth,Direct Plan
SIF-151,IDCW,Direct Plan
SIF-150,Growth,Regular Plan
SIF-152,IDCW,Regular Plan
SIF-99,Growth Option,Direct Plan
SIF-100,IDCW Payout Option,Direct Plan
SIF-103,IDCW Reinvestment Option,Direct Plan
SIF-102,Growth Option,Regular Plan
SIF-98,IDCW Payout Option,Regular Plan
SIF-101,IDCW Reinvestment Option,Regular Plan
SIF-108,Growth,Direct Plan
SIF-111,Growth,Regular Plan
SIF-110,IDCW,Regular Plan
SIF-116,Growth Option,Direct Plan
SIF-117,Growth Option,Regular Plan
SIF-118,IDCW Option,Direct Plan
SIF-119,IDCW Option,Regular Plan
SIF-88,GROWTH OPTION,Direct Plan
SIF-86,IDCW Option,Direct Plan
SIF-87,GROWTH OPTION,Regular Plan
SIF-89,IDCW Option,Regular Plan
SIF-125,,
SIF-124,,
SIF-92,IDCW Option,Direct Plan
SIF-91,IDCW Option,Regular Plan
SIF-90,Growth Option,Direct Plan
SIF-93,Growth Option,Regular Plan
SIF-9,Growth,Direct Plan
SIF-10,IDCW,Direct Plan
SIF-11,Growth,Regular Plan
SIF-12,IDCW,Regular Plan
SIF-83,IDCW,Direct Plan
SIF-80,GROWTH,Regular Plan
SIF-81,IDCW,Regular Plan
SIF-79,GROWTH,Direct Plan
SIF-51,,
SIF-54,,
SIF-48,,
SIF-43,,
SIF-40,,
SIF-44,,
SIF-145,GROWTH,Direct Plan
SIF-148,IDCW,Direct Plan
SIF-146,GROWTH,Regular Plan
SIF-147,IDCW,Regular Plan
SIF-36,,
SIF-35,,
SIF-14,,
SIF-15,,
SIF-13,,
SIF-16,,
SIF-134,,
SIF-135,,
SIF-136,,
SIF-137,,
SIF-139,Growth Option,Direct Plan
SIF-138,Growth Option,Regular Plan
SIF-5,Growth Option,Direct Plan
SIF-7,Growth Option,Regular Plan
SIF-6,IDCW Option,Direct Plan
SIF-8,IDCW Option,Regular Plan
SIF-129,,
SIF-130,,
SIF-128,,
SIF-32,Growth Option,Direct Plan
SIF-31,IDCW Payout Option,Direct Plan
SIF-28,IDCW Reinvestment Option,Direct Plan
SIF-29,Growth Option,Regular Plan
SIF-30,IDCW Payout Option,Regular Plan
SIF-27,IDCW Reinvestment Option,Regular Plan
