sif_code,nav_date,nav,AUM
SIF-120,28-Aug-2026,11.2502,2975.25
SIF-121,28-Aug-2026,11.2502,13.77
SIF-122,28-Aug-2026,11.2095,6138.22
SIF-123,28-Aug-2026,11.2092,30.41
SIF-9,28-Aug-2026,11.1418,269251.71
SIF-10,28-Aug-2026,10.7757,8326.01
SIF-11,28-Aug-2026,11.0494,146725.84
SIF-12,28-Aug-2026,10.6836,330.72
SIF-83,28-Aug-2026,10.7913,10.43
SIF-80,28-Aug-2026,10.7391,5086.36
SIF-81,28-Aug-2026,10.7391,2.10
SIF-79,28-Aug-2026,10.7915,2281.51
SIF-112,28-Aug-2026,10.0778,77.21
SIF-114,28-Aug-2026,10.0398,4898.28
SIF-115,28-Aug-2026,10.0398,4.09
SIF-61,28-Aug-2026,10.58,
SIF-75,28-Aug-2026,10.218,1.09
SIF-62,28-Aug-2026,10.512,6411.82
SIF-69,28-Aug-2026,10.38,16.19
SIF-71,28-Aug-2026,10.512,10.13
SIF-51,28-Aug-2026,10.289,9.42
SIF-54,28-Aug-2026,10.385,5211.65
SIF-48,28-Aug-2026,10.383,10.17
SIF-43,28-Aug-2026,9.998,
SIF-40,28-Aug-2026,10.357,5846.08
SIF-44,28-Aug-2026,10.357,11.10
SIF-19,28-Aug-2026,945.3208,15304.83
SIF-20,28-Aug-2026,945.3208,9.40
SIF-21,28-Aug-2026,934.8789,23403.71
SIF-22,28-Aug-2026,934.8789,70.25
SIF-88,28-Aug-2026,10.5848,5761.98
SIF-86,28-Aug-2026,10.5848,10.18
SIF-87,28-Aug-2026,10.5261,12347.04
SIF-89,28-Aug-2026,10.5261,10.16
SIF-140,28-Aug-2026,11.207,191.86
SIF-143,28-Aug-2026,11.1665,469.82
SIF-144,28-Aug-2026,11.1665,1.69
SIF-57,28-Aug-2026,10.7802,6672.40
SIF-55,28-Aug-2026,10.6987,18524.85
SIF-59,28-Aug-2026,10.6987,3.98
SIF-145,28-Aug-2026,10.336,
SIF-148,28-Aug-2026,10.336,
SIF-146,28-Aug-2026,10.319,
SIF-147,28-Aug-2026,10.319,
SIF-125,28-Aug-2026,10.4748,4219.47
SIF-124,28-Aug-2026,10.4408,11299.70
SIF-33,28-Aug-2026,10.49,58363.39
SIF-34,28-Aug-2026,10.41,104320.21
SIF-127,28-Aug-2026,10.91,2957.85
SIF-126,28-Aug-2026,10.87,3914.62
SIF-36,28-Aug-2026,10.7359,31862.76
SIF-35,28-Aug-2026,10.6505,50858.68
SIF-14,28-Aug-2026,10.6354,174995.47
SIF-15,28-Aug-2026,10.6414,1524.53
SIF-13,28-Aug-2026,10.5707,173724.47
SIF-16,28-Aug-2026,10.5698,441.58
SIF-134,28-Aug-2026,10.227,646.54
SIF-135,28-Aug-2026,10.227,19.69
SIF-136,28-Aug-2026,10.197,3504.14
SIF-137,28-Aug-2026,10.197,72.99
SIF-139,28-Aug-2026,10.1771,
SIF-138,28-Aug-2026,10.1632,
SIF-92,28-Aug-2026,11.5492,150.77
SIF-91,28-Aug-2026,11.4833,19.31
SIF-90,28-Aug-2026,11.5492,3752.11
SIF-93,28-Aug-2026,11.4833,1143.81
SIF-23,28-Aug-2026,11.5997,10675.99
SIF-25,28-Aug-2026,11.471,8780.59
SIF-24,28-Aug-2026,11.5997,2846.08
SIF-26,28-Aug-2026,11.471,69.41
SIF-1,28-Aug-2026,11.2725,34219.94
SIF-3,28-Aug-2026,11.1261,21626.58
SIF-2,28-Aug-2026,11.2725,1891.16
SIF-4,28-Aug-2026,11.1261,107.01
SIF-5,28-Aug-2026,11.1261,12636.28
SIF-7,28-Aug-2026,10.98,2452.04
SIF-6,28-Aug-2026,11.1261,319.14
SIF-8,28-Aug-2026,11.1613,21.86
SIF-116,28-Aug-2026,10.2741,1488.90
SIF-117,28-Aug-2026,10.2267,424.18
SIF-118,28-Aug-2026,10.2741,16.81
SIF-119,28-Aug-2026,10.2267,14.30
SIF-129,28-Aug-2026,10.1889,2707.94
SIF-130,28-Aug-2026,10.1894,1.32
SIF-128,28-Aug-2026,10.1764,4763.76
SIF-95,28-Aug-2026,1020.5539,9683.67
SIF-94,28-Aug-2026,1020.5539,27.25
SIF-96,28-Aug-2026,1014.6988,989.09
SIF-97,28-Aug-2026,1014.6988,6.90
SIF-149,28-Aug-2026,10.65,
SIF-151,28-Aug-2026,10.65,
SIF-150,28-Aug-2026,10.63,
SIF-152,28-Aug-2026,10.63,
SIF-99,28-Aug-2026,10.6762,2622.52
SIF-100,28-Aug-2026,10.077,
SIF-103,28-Aug-2026,10.077,
SIF-102,28-Aug-2026,10.6175,8822.95
SIF-98,28-Aug-2026,10.6175,
SIF-101,28-Aug-2026,10.6175,15.92
SIF-32,28-Aug-2026,10.3394,18223.60
SIF-31,28-Aug-2026,10.3394,
SIF-28,28-Aug-2026,10.3394,93.49
SIF-29,28-Aug-2026,10.2077,35457.39
SIF-30,28-Aug-2026,10.2077,
SIF-27,28-Aug-2026,10.2077,121.83
SIF-107,28-Aug-2026,10.872,77.30
SIF-104,28-Aug-2026,10.8481,6.20
SIF-105,28-Aug-2026,10.7789,986.59
SIF-106,28-Aug-2026,10.7798,3.86
SIF-108,28-Aug-2026,10.6732,106.73
SIF-111,28-Aug-2026,10.6046,992.65
SIF-110,28-Aug-2026,10.6052,3.09
