sif_code,nav_date,nav,AUM
SIF-120,17-Sep-2026,10.7656,2975.25
SIF-121,17-Sep-2026,10.7656,13.77
SIF-122,17-Sep-2026,10.7179,6138.22
SIF-123,17-Sep-2026,10.7176,30.41
SIF-155,17-Sep-2026,9.98,
SIF-156,17-Sep-2026,9.98,
SIF-140,17-Sep-2026,11.1344,191.86
SIF-141,17-Sep-2026,11.1344,
SIF-143,17-Sep-2026,11.0824,469.82
SIF-144,17-Sep-2026,11.0824,1.69
SIF-33,17-Sep-2026,10.30,58363.39
SIF-34,17-Sep-2026,10.21,104320.21
SIF-159,17-Sep-2026,9.7833,
SIF-160,17-Sep-2026,9.7833,
SIF-157,17-Sep-2026,9.7758,
SIF-158,17-Sep-2026,9.7757,
SIF-23,17-Sep-2026,11.4722,10675.99
SIF-25,17-Sep-2026,11.3366,8780.59
SIF-24,17-Sep-2026,11.4722,2846.08
SIF-26,17-Sep-2026,11.3366,69.41
SIF-107,17-Sep-2026,10.6346,77.30
SIF-104,17-Sep-2026,10.6112,6.20
SIF-105,17-Sep-2026,10.5318,986.59
SIF-106,17-Sep-2026,10.5327,3.86
SIF-153,17-Sep-2026,9.91,
SIF-154,17-Sep-2026,9.91,
SIF-112,17-Sep-2026,9.7936,77.21
SIF-114,17-Sep-2026,9.7498,4898.28
SIF-115,17-Sep-2026,9.7498,4.09
SIF-61,17-Sep-2026,10.35,
SIF-75,17-Sep-2026,9.987,1.09
SIF-62,17-Sep-2026,10.274,6411.82
SIF-69,17-Sep-2026,10.145,16.19
SIF-71,17-Sep-2026,10.274,10.13
SIF-19,17-Sep-2026,906.6845,15304.83
SIF-20,17-Sep-2026,906.6845,9.40
SIF-21,17-Sep-2026,895.9516,23403.71
SIF-22,17-Sep-2026,895.9516,70.25
SIF-57,17-Sep-2026,10.4129,6672.40
SIF-60,17-Sep-2026,10.4129,
SIF-55,17-Sep-2026,10.3257,18524.85
SIF-59,17-Sep-2026,10.3257,3.98
SIF-127,17-Sep-2026,10.67,2957.85
SIF-126,17-Sep-2026,10.63,3914.62
SIF-1,17-Sep-2026,11.0925,34219.94
SIF-3,17-Sep-2026,10.9404,21626.58
SIF-2,17-Sep-2026,11.0925,1891.16
SIF-4,17-Sep-2026,10.9404,107.01
SIF-95,17-Sep-2026,985.3284,9683.67
SIF-94,17-Sep-2026,985.3284,27.25
SIF-96,17-Sep-2026,978.7464,989.09
SIF-97,17-Sep-2026,978.7464,6.90
SIF-149,17-Sep-2026,10.34,
SIF-151,17-Sep-2026,10.34,
SIF-150,17-Sep-2026,10.31,
SIF-152,17-Sep-2026,10.31,
SIF-99,17-Sep-2026,10.4095,2622.52
SIF-100,17-Sep-2026,9.8252,
SIF-103,17-Sep-2026,9.8252,
SIF-102,17-Sep-2026,10.3416,8822.95
SIF-98,17-Sep-2026,10.3416,
SIF-101,17-Sep-2026,10.3416,15.92
SIF-108,17-Sep-2026,10.3921,106.73
SIF-111,17-Sep-2026,10.3139,992.65
SIF-110,17-Sep-2026,10.3145,3.09
SIF-116,17-Sep-2026,10.3912,1488.90
SIF-117,17-Sep-2026,10.3344,424.18
SIF-118,17-Sep-2026,10.3912,16.81
