sif_code,nav_date,nav,AUM
SIF-120,15-Sep-2026,10.7374,2975.25
SIF-121,15-Sep-2026,10.7374,13.77
SIF-122,15-Sep-2026,10.6907,6138.22
SIF-123,15-Sep-2026,10.6904,30.41
SIF-155,15-Sep-2026,9.94,
SIF-156,15-Sep-2026,9.93,
SIF-140,15-Sep-2026,11.0907,191.86
SIF-141,15-Sep-2026,11.0907,
SIF-143,15-Sep-2026,11.0401,469.82
SIF-144,15-Sep-2026,11.0401,1.69
SIF-33,15-Sep-2026,10.19,58363.39
SIF-34,15-Sep-2026,10.11,104320.21
SIF-159,15-Sep-2026,9.7407,
SIF-160,15-Sep-2026,9.7406,
SIF-157,15-Sep-2026,9.7338,
SIF-158,15-Sep-2026,9.7338,
SIF-23,15-Sep-2026,11.4744,10675.99
SIF-25,15-Sep-2026,11.3396,8780.59
SIF-24,15-Sep-2026,11.4744,2846.08
SIF-26,15-Sep-2026,11.3396,69.41
SIF-107,15-Sep-2026,10.5203,77.30
SIF-104,15-Sep-2026,10.4972,6.20
SIF-105,15-Sep-2026,10.4198,986.59
SIF-106,15-Sep-2026,10.4207,3.86
SIF-153,15-Sep-2026,9.86,
SIF-154,15-Sep-2026,9.86,
SIF-112,15-Sep-2026,9.8317,77.21
SIF-114,15-Sep-2026,9.7883,4898.28
SIF-115,15-Sep-2026,9.7883,4.09
SIF-61,15-Sep-2026,10.306,
SIF-75,15-Sep-2026,9.946,1.09
SIF-62,15-Sep-2026,10.232,6411.82
SIF-69,15-Sep-2026,10.103,16.19
SIF-71,15-Sep-2026,10.232,10.13
SIF-19,15-Sep-2026,902.2841,15304.83
SIF-20,15-Sep-2026,902.2841,9.40
SIF-21,15-Sep-2026,891.6747,23403.71
SIF-22,15-Sep-2026,891.6747,70.25
SIF-57,15-Sep-2026,10.3716,6672.40
SIF-60,15-Sep-2026,10.3716,
SIF-55,15-Sep-2026,10.2856,18524.85
SIF-59,15-Sep-2026,10.2856,3.98
SIF-127,15-Sep-2026,10.61,2957.85
SIF-126,15-Sep-2026,10.57,3914.62
SIF-1,15-Sep-2026,11.0177,34219.94
SIF-3,15-Sep-2026,10.8674,21626.58
SIF-2,15-Sep-2026,11.0177,1891.16
SIF-4,15-Sep-2026,10.8674,107.01
SIF-95,15-Sep-2026,977.8330,9683.67
SIF-94,15-Sep-2026,977.8330,27.25
SIF-96,15-Sep-2026,971.3932,989.09
SIF-97,15-Sep-2026,971.3932,6.90
SIF-149,15-Sep-2026,10.22,
SIF-151,15-Sep-2026,10.22,
SIF-150,15-Sep-2026,10.20,
SIF-152,15-Sep-2026,10.20,
SIF-99,15-Sep-2026,10.3136,2622.52
SIF-100,15-Sep-2026,9.7347,
SIF-103,15-Sep-2026,9.7347,
SIF-102,15-Sep-2026,10.2474,8822.95
SIF-98,15-Sep-2026,10.2474,
SIF-101,15-Sep-2026,10.2474,15.92
SIF-108,15-Sep-2026,10.2759,106.73
SIF-111,15-Sep-2026,10.1997,992.65
SIF-110,15-Sep-2026,10.2003,3.09
SIF-116,15-Sep-2026,10.3521,1488.90
SIF-117,15-Sep-2026,10.2964,424.18
SIF-118,15-Sep-2026,10.3521,16.81
SIF-119,15-Sep-2026,10.2964,14.30
SIF-88,11-Sep-2026,10.5507,5761.98
SIF-86,11-Sep-2026,10.5507,10.18
SIF-87,11-Sep-2026,10.4868,12347.04
SIF-89,11-Sep-2026,10.4868,10.16
SIF-125,11-Sep-2026,10.3628,4219.47
SIF-124,11-Sep-2026,10.3236,11299.70
SIF-92,15-Sep-2026,13.3978,150.77
SIF-91,15-Sep-2026,13.3127,19.31
SIF-90,15-Sep-2026,13.3978,3752.11
SIF-93,15-Sep-2026,13.3127,1143.81
SIF-9,15-Sep-2026,11.0704,269251.71
SIF-10,15-Sep-2026,10.7067,8326.01
SIF-11,15-Sep-2026,10.9741,146725.84
SIF-12,15-Sep-2026,10.6109,330.72
SIF-83,15-Sep-2026,10.7343,10.43
SIF-80,15-Sep-2026,10.6763,5086.36
SIF-81,15-Sep-2026,10.6762,2.10
SIF-79,15-Sep-2026,10.7345,2281.51
SIF-51,15-Sep-2026,10.304,9.42
SIF-54,15-Sep-2026,10.401,5211.65
SIF-48,15-Sep-2026,10.398,10.17
SIF-43,15-Sep-2026,10.01,
SIF-40,15-Sep-2026,10.37,5846.08
SIF-44,15-Sep-2026,10.37,11.10
SIF-145,15-Sep-2026,10.324,
SIF-148,15-Sep-2026,10.324,
SIF-146,15-Sep-2026,10.301,
SIF-147,15-Sep-2026,10.301,
SIF-36,15-Sep-2026,10.4216,31862.76
SIF-35,15-Sep-2026,10.3320,50858.68
SIF-14,15-Sep-2026,10.4587,174995.47
SIF-15,15-Sep-2026,10.4647,1524.53
SIF-13,15-Sep-2026,10.3919,173724.47
SIF-16,15-Sep-2026,10.3910,441.58
SIF-134,15-Sep-2026,10.121,646.54
SIF-135,15-Sep-2026,10.121,19.69
SIF-136,15-Sep-2026,10.084,3504.14
SIF-137,15-Sep-2026,10.084,72.99
SIF-139,15-Sep-2026,10.2007,
SIF-138,15-Sep-2026,10.1810,
SIF-5,15-Sep-2026,13.3624,12636.28
SIF-7,15-Sep-2026,13.1774,2452.04
SIF-6,15-Sep-2026,13.3624,319.14
SIF-8,15-Sep-2026,13.3958,21.86
SIF-129,15-Sep-2026,10.2292,2707.94
SIF-130,15-Sep-2026,10.2298,1.32
SIF-128,15-Sep-2026,10.2133,4763.76
SIF-32,15-Sep-2026,10.0907,18223.60
SIF-31,15-Sep-2026,10.0907,
SIF-28,15-Sep-2026,10.0907,93.49
SIF-29,15-Sep-2026,9.9533,35457.39
SIF-30,15-Sep-2026,9.9533,
SIF-27,15-Sep-2026,9.9533,121.83
