sif_code,nav_date,nav
SIF-120,03-Sep-2026,11.1093
SIF-121,03-Sep-2026,11.1094
SIF-122,03-Sep-2026,11.0664
SIF-123,03-Sep-2026,11.0661
SIF-155,03-Sep-2026,10.02
SIF-156,03-Sep-2026,10.02
SIF-140,03-Sep-2026,11.1481
SIF-143,03-Sep-2026,11.1041
SIF-144,03-Sep-2026,11.1041
SIF-33,03-Sep-2026,10.46
SIF-34,03-Sep-2026,10.38
SIF-159,03-Sep-2026,9.9854
SIF-160,03-Sep-2026,9.9854
SIF-157,03-Sep-2026,9.9825
SIF-158,03-Sep-2026,9.9825
SIF-23,03-Sep-2026,11.7038
SIF-25,03-Sep-2026,11.5714
SIF-24,03-Sep-2026,11.7038
SIF-26,03-Sep-2026,11.5714
SIF-107,03-Sep-2026,10.7641
SIF-104,03-Sep-2026,10.7404
SIF-105,03-Sep-2026,10.6683
SIF-106,03-Sep-2026,10.6692
SIF-153,03-Sep-2026,10.02
SIF-154,03-Sep-2026,10.02
SIF-112,03-Sep-2026,9.9182
SIF-114,03-Sep-2026,9.8783
SIF-115,03-Sep-2026,9.8783
SIF-61,03-Sep-2026,10.529
SIF-75,03-Sep-2026,10.166
SIF-62,03-Sep-2026,10.458
SIF-69,03-Sep-2026,10.327
SIF-71,03-Sep-2026,10.458
SIF-19,03-Sep-2026,932.2498
SIF-20,03-Sep-2026,932.2498
SIF-21,03-Sep-2026,921.7308
SIF-22,03-Sep-2026,921.7308
SIF-57,03-Sep-2026,10.6580
SIF-60,03-Sep-2026,10.6580
SIF-55,03-Sep-2026,10.5748
SIF-59,03-Sep-2026,10.5748
SIF-127,03-Sep-2026,10.82
SIF-126,03-Sep-2026,10.78
SIF-1,03-Sep-2026,11.2159
SIF-3,03-Sep-2026,11.0678
SIF-2,03-Sep-2026,11.2159
SIF-4,03-Sep-2026,11.0678
SIF-95,03-Sep-2026,1011.9866
SIF-94,03-Sep-2026,1011.9866
SIF-96,03-Sep-2026,1005.8944
SIF-97,03-Sep-2026,1005.8944
SIF-149,03-Sep-2026,10.58
SIF-151,03-Sep-2026,10.58
SIF-150,03-Sep-2026,10.56
SIF-152,03-Sep-2026,10.56
SIF-99,03-Sep-2026,10.5844
SIF-100,03-Sep-2026,9.9904
SIF-103,03-Sep-2026,9.9904
SIF-102,03-Sep-2026,10.5230
SIF-98,03-Sep-2026,10.5230
SIF-101,03-Sep-2026,10.5230
SIF-108,03-Sep-2026,10.5252
SIF-111,03-Sep-2026,10.4541
SIF-110,03-Sep-2026,10.4547
SIF-116,03-Sep-2026,10.4131
SIF-117,03-Sep-2026,10.3624
SIF-118,03-Sep-2026,10.4131
SIF-119,03-Sep-2026,10.3624
SIF-88,02-Sep-2026,10.5368
SIF-86,02-Sep-2026,10.5368
SIF-87,02-Sep-2026,10.4765
SIF-89,02-Sep-2026,10.4765
SIF-125,03-Sep-2026,10.4259
SIF-124,03-Sep-2026,10.3896
SIF-92,03-Sep-2026,11.7184
SIF-91,03-Sep-2026,11.649
SIF-90,03-Sep-2026,11.7184
SIF-93,03-Sep-2026,11.649
SIF-9,03-Sep-2026,11.1360
SIF-10,03-Sep-2026,10.7701
SIF-11,03-Sep-2026,11.0421
SIF-12,03-Sep-2026,10.6766
SIF-83,03-Sep-2026,10.7825
SIF-80,03-Sep-2026,10.7283
SIF-81,03-Sep-2026,10.7283
SIF-79,03-Sep-2026,10.7827
SIF-51,03-Sep-2026,10.31
SIF-54,03-Sep-2026,10.406
SIF-48,03-Sep-2026,10.404
SIF-43,03-Sep-2026,10.017
SIF-40,03-Sep-2026,10.377
SIF-44,03-Sep-2026,10.377
SIF-145,03-Sep-2026,10.355
SIF-148,03-Sep-2026,10.355
SIF-146,03-Sep-2026,10.336
SIF-147,03-Sep-2026,10.336
SIF-36,03-Sep-2026,10.6439
SIF-35,03-Sep-2026,10.5570
SIF-14,03-Sep-2026,10.5939
SIF-15,03-Sep-2026,10.5999
SIF-13,03-Sep-2026,10.5284
SIF-16,03-Sep-2026,10.5275
SIF-134,03-Sep-2026,10.199
SIF-135,03-Sep-2026,10.199
SIF-136,03-Sep-2026,10.166
SIF-137,03-Sep-2026,10.166
SIF-139,03-Sep-2026,10.2026
SIF-138,03-Sep-2026,10.1868
SIF-5,03-Sep-2026,11.3025
SIF-7,03-Sep-2026,11.1515
SIF-6,03-Sep-2026,11.3025
SIF-8,03-Sep-2026,11.3357
SIF-129,03-Sep-2026,10.2254
SIF-130,03-Sep-2026,10.226
SIF-128,03-Sep-2026,10.2118
SIF-32,03-Sep-2026,10.2796
SIF-31,03-Sep-2026,10.2796
SIF-28,03-Sep-2026,10.2796
SIF-29,03-Sep-2026,10.1457
SIF-30,03-Sep-2026,10.1457
SIF-27,03-Sep-2026,10.1457
