sif_code,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
SIF-116,2026,,,,,,,-1.87,1.03,0.99,,,
SIF-117,2026,,,,,0.60,1.34,-1.89,0.91,0.90,,,
SIF-118,2026,,,,,,,-1.87,1.03,0.99,,,
SIF-119,2026,,,,,0.60,1.34,-1.89,0.91,0.90,,,
SIF-120,2026,,,,,,,0.12,1.81,-1.16,,,
SIF-121,2026,,,,,,,0.12,1.81,-1.16,,,
SIF-122,2026,,,,,,6.01,1.38,1.69,-1.24,,,
SIF-123,2026,,,,,,6.01,1.38,1.69,-1.24,,,
SIF-124,2026,,,,,,0.78,1.76,0.73,-0.26,,,
SIF-125,2026,,,,,,0.87,1.88,0.84,-0.19,,,
SIF-126,2026,,,,,,1.70,2.35,2.84,-0.46,,,
SIF-127,2026,,,,,,1.80,2.44,2.92,-0.37,,,
SIF-128,2026,,,,,,0.15,0.67,0.58,0.37,,,
SIF-129,2026,,,,,,,0.47,0.62,0.40,,,
SIF-130,2026,,,,,,,0.47,0.63,0.41,,,
SIF-134,2026,,,,,,,0.90,-0.32,-0.43,,,
SIF-135,2026,,,,,,,0.91,-0.32,-0.43,,,
SIF-136,2026,,,,,,0.78,0.56,-0.42,-0.51,,,
SIF-137,2026,,,,,,0.78,0.56,-0.42,-0.51,,,
SIF-138,2026,,,,,,,0.33,0.96,0.40,,,
SIF-139,2026,,,,,,,0.35,1.04,0.46,,,
SIF-140,2026,,,,,,,3.25,4.51,3.11,,,
SIF-141,2026,,,,,,,,,0.05,,,
SIF-143,2026,,,,,,0.68,3.81,4.35,3.00,,,
SIF-144,2026,,,,,,0.68,3.81,4.35,3.00,,,
SIF-145,2026,,,,,,,1.20,1.28,0.40,,,
SIF-146,2026,,,,,,,1.13,1.19,0.33,,,
SIF-147,2026,,,,,,,1.13,1.19,0.33,,,
SIF-148,2026,,,,,,,1.20,1.28,0.40,,,
SIF-149,2026,,,,,,,2.51,2.91,-0.28,,,
SIF-150,2026,,,,,,,2.51,2.72,-0.38,,,
SIF-151,2026,,,,,,,2.51,2.91,-0.28,,,
SIF-152,2026,,,,,,,2.51,2.72,-0.38,,,
SIF-153,2026,,,,,,,,,-0.40,,,
SIF-154,2026,,,,,,,,,-0.50,,,
SIF-155,2026,,,,,,,,,0.30,,,
SIF-156,2026,,,,,,,,,0.20,,,
SIF-157,2026,,,,,,,,,-0.76,,,
SIF-158,2026,,,,,,,,,-0.76,,,
SIF-159,2026,,,,,,,,,-0.69,,,
SIF-160,2026,,,,,,,,,-0.69,,,
