sif_code,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
SIF-3,2025,,,,,,,,,,1.26,-0.81,-0.53
SIF-4,2025,,,,,,,,,,1.25,-0.80,-0.53
SIF-7,2025,,,,,,,,,,0.40,-0.93,-0.18
SIF-8,2025,,,,,,,,,,-0.19,-0.06,
SIF-11,2025,,,,,,,,,,0.07,0.79,1.60
SIF-12,2025,,,,,,,,,,0.07,0.79,1.60
SIF-13,2025,,,,,,,,,,-0.34,1.03,0.77
SIF-16,2025,,,,,,,,,,-0.34,1.02,0.77
SIF-21,2025,,,,,,,,,,,,0.14
SIF-22,2025,,,,,,,,,,,,0.14
SIF-25,2025,,,,,,,,,,,-0.05,-1.14
SIF-26,2025,,,,,,,,,,,-0.05,-1.14
SIF-27,2025,,,,,,,,,,,,0.56
SIF-29,2025,,,,,,,,,,,,0.56
SIF-30,2025,,,,,,,,,,,,0.56
