sif_code,nav_date,nav
SIF-43,19-Aug-2026,10.007
SIF-43,20-Aug-2026,9.992
SIF-43,21-Aug-2026,9.996
SIF-43,24-Aug-2026,10.002
SIF-43,25-Aug-2026,10.0
SIF-43,27-Aug-2026,9.998
SIF-43,28-Aug-2026,9.998
SIF-43,31-Aug-2026,9.994
SIF-43,01-Sep-2026,10.013
SIF-43,02-Sep-2026,10.004
SIF-43,03-Sep-2026,10.017
SIF-43,04-Sep-2026,10.01
SIF-43,07-Sep-2026,10.024
SIF-43,08-Sep-2026,10.024
SIF-43,09-Sep-2026,10.023
SIF-43,10-Sep-2026,10.033
SIF-43,11-Sep-2026,10.013
SIF-43,15-Sep-2026,10.01
SIF-43,16-Sep-2026,10.015
SIF-43,17-Sep-2026,10.016
SIF-43,18-Sep-2026,10.031
SIF-43,21-Sep-2026,10.023
SIF-43,22-Sep-2026,10.028
